name,code,row,col
Abitibi-Est,648,2,2
Abitibi-Ouest,642,2,1
Acadie,338,10,10
Anjou–Louis-Riel,366,11,15
Argenteuil,520,5,1
Arthabaska,144,7,10
Beauce-Nord,806,6,11
Beauce-Sud,802,6,12
Beauharnois,218,10,1
Bellechasse,822,5,11
Berthier,566,3,5
Bertrand,588,3,4
Blainville,536,7,3
Bonaventure,850,3,15
Borduas,258,12,5
Bourassa-Sauvé,360,10,14
Bourget,370,12,14
Brome-Missisquoi,204,8,9
Chambly,238,13,5
Champlain,676,3,8
Chapleau,620,4,3
Charlesbourg,748,6,16
Charlevoix–Côte-de-Beaupré,760,3,11
Châteauguay,226,11,1
Chauveau,754,3,10
Chicoutimi,918,2,10
Chomedey,460,9,3
Chutes-de-la-Chaudière,814,8,15
Côte-du-Sud,826,4,12
D’Arcy-McGee,320,11,9
Deux-Montagnes,508,7,1
Drummond–Bois-Francs,138,6,9
Dubuc,914,2,11
Duplessis,902,1,13
Fabre,466,8,3
Gaspé,854,2,15
Gatineau,614,3,2
Gouin,346,11,12
Granby,206,7,9
Groulx,502,7,2
Hochelaga-Maisonneuve,352,13,13
Hull,602,4,2
Huntingdon,216,8,7
Iberville,210,8,8
Îles-de-la-Madeleine,858,3,16
Jacques-Cartier,310,11,7
Jean-Lesage,736,7,16
Jean-Talon,702,7,14
Jeanne-Mance–Viger,364,11,13
Johnson,126,6,8
Joliette,570,4,6
Jonquière,922,2,9
L’Assomption,554,6,6
La Peltrie,720,4,9
La Pinière,236,13,3
La Prairie,232,13,2
Labelle,594,3,3
Lac-Saint-Jean,926,2,8
LaFontaine,390,10,15
Laporte,244,12,3
Laurier-Dorion,344,10,12
Laval-des-Rapides,454,9,4
Laviolette–Saint-Maurice,670,2,6
Les Plaines,530,7,4
Lévis,818,8,16
Lotbinière-Frontenac,810,6,10
Louis-Hébert,708,6,14
Marguerite-Bourgeoys,304,12,10
Marie-Victorin,246,11,3
Marquette,306,11,8
Maskinongé,666,3,6
Masson,548,7,5
Matane-Matapédia,842,2,14
Maurice-Richard,340,10,11
Mégantic,104,7,12
Mercier,350,12,12
Mille-Îles,482,9,5
Mirabel,514,6,1
Mont-Royal–Outremont,336,11,11
Montarville,252,11,5
Montmorency,742,4,10
Nelligan,312,10,7
Nicolet-Bécancour,150,5,7
Notre-Dame-de-Grâce,324,11,10
Orford,120,8,10
Papineau,626,4,4
Pointe-aux-Trembles,380,11,16
Pontiac,608,4,1
Portneuf,714,3,9
Prévost,582,6,3
René-Lévesque,906,2,12
Repentigny,560,7,6
Richelieu,264,6,7
Richmond,132,7,11
Rimouski,838,3,13
Rivière-du-Loup–Témiscouata,834,4,13
Robert-Baldwin,316,10,8
Roberval,930,2,7
Rosemont,356,12,13
Rousseau,576,6,4
Rouyn-Noranda–Témiscamingue,636,3,1
Saint-François,110,8,12
Saint-Henri–Sainte-Anne,326,13,11
Saint-Hyacinthe,260,7,8
Saint-Jean,212,7,7
Saint-Jérôme,526,6,2
Saint-Laurent,318,10,9
Sainte-Marie–Saint-Jacques,330,13,12
Sainte-Rose,470,8,4
Sanguinet,230,12,2
Sherbrooke,116,8,11
Soulanges,220,8,1
Taillon,250,11,4
Taschereau,730,7,15
Terrebonne,542,6,5
Trois-Rivières,660,4,7
Ungava,938,1,1
Vachon,240,13,4
Vanier-Les Rivières,726,6,15
Vaudreuil,224,9,1
Verchères,256,12,4
Verdun,300,13,10
Viau,358,11,14
Vimont,476,8,5
Westmount–Saint-Louis,332,12,11
