row,col,name,code
2,1,San Andrés y Providencia,"26"
3,5,La Guajira,"18"
4,5,Magdalena,"19"
4,4,Atlántico,"04"
5,6,Cesar,"11"
5,5,Bolivar,"05"
5,3,Córdoba,"13"
5,4,Sucre,"28"
6,7,Arauca,"03"
6,6,Norte de Santander,"22"
6,5,Boyacá,"06"
6,2,Chocó,"12"
6,3,Antioquia,"02"
6,4,Santander,"27"
7,7,Vichada,"32"
7,6,Casanare,"09"
7,5,Cundinamarca,"14"
7,2,Valle del Cauca,"30"
7,3,Risaralda,"25"
7,4,Caldas,"07"
8,7,Guainía,"15"
8,6,Guaviare,"16"
8,5,Meta,"20"
8,2,Cauca,"10"
8,1,Nariño,"21"
8,3,Quindio,"24"
8,4,Tolima,"29"
9,5,Vaupés,"31"
9,2,Putumayo,"23"
9,3,Huila,"17"
9,4,Caquetá,"08"
10,5,Amazonas,"01"
