row,col,code,name,name_de
1,2,SH,Schleswig-Holstein,Schleswig-Holstein
1,3,HH,Hamburg,Hamburg
1,4,MV,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
2,2,HB,Bremen,Bremen
2,3,NI,Lower Saxony,Niedersachsen
2,4,BE,Berlin,Berlin
2,5,BB,Brandenburg,Brandenburg
3,2,NW,North Rhine-Westphalia,Nordrhein-Westfalen
3,4,ST,Saxony-Anhalt,Sachsen-Anhalt
4,1,SL,Saarland,Saarland
4,2,RP,Rhineland-Palatinate,Rheinland-Pfalz
4,3,HE,Hesse,Hessen
4,4,TH,Thuringia,Thüringen
4,5,SN,Saxony,Sachsen
5,3,BW,Baden-Württemberg,Baden-Württemberg
5,4,BY,Bavaria,Bayern
