"code","row","col","name"
"Finnmark",1,7,"Finnmark"
"Troms",2,6,"Troms"
"Nordland",3,5,"Nordland"
"More og Romsdal",4,3,"More og Romsdal"
"Trondelag",4,4,"Trondelag"
"Hedmark",5,4,"Hedmark"
"Sogn og Fjordane",5,2,"Sogn og Fjordane"
"Oppland",5,3,"Oppland"
"Akershus",6,4,"Akershus"
"Oslo",6,3,"Oslo"
"Buskerud",6,2,"Buskerud"
"Hordaland",6,1,"Hordaland"
"Telemark",7,2,"Telemark"
"Rogaland",7,1,"Rogaland"
"Vestfold",7,3,"Vestfold"
"Ostfold",7,4,"Ostfold"
"Aust-Agder",8,3,"Aust-Agder"
"Vest-Agder",8,2,"Vest-Agder"
