name,row,col,code
Keweenaw,1,2,26083
Baraga,2,3,26013
Ontonagon,2,1,26131
Houghton,2,2,26061
Marquette,2,4,26103
Alger,2,5,26003
Luce,2,6,26095
Chippewa,2,7,26033
Gogebic,3,1,26053
Iron,3,2,26071
Dickinson,3,3,26043
Menominee,3,4,26109
Delta,3,5,26041
Schoolcraft,3,6,26153
Mackinac,3,7,26097
Charlevoix,5,6,26029
Emmet,5,7,26047
Cheboygan,5,8,26031
Presque Isle,5,9,26141
Leelanau,6,6,26089
Antrim,6,7,26009
Otsego,6,8,26137
Montmorency,6,9,26119
Alpena,6,10,26007
Alcona,7,10,26001
Benzie,7,5,26019
Grand Traverse,7,6,26055
Kalkaska,7,7,26079
Crawford,7,8,26039
Oscoda,7,9,26135
Iosco,8,10,26069
Manistee,8,5,26101
Wexford,8,6,26165
Missaukee,8,7,26113
Roscommon,8,8,26143
Ogemaw,8,9,26129
Mason,9,5,26105
Lake,9,6,26085
Osceola,9,7,26133
Clare,9,8,26035
Gladwin,9,9,26051
Arenac,9,10,26011
Oceana,10,5,26127
Newaygo,10,6,26123
Mecosta,10,7,26107
Isabella,10,8,26073
Midland,10,9,26111
Bay,10,10,26017
Huron,10,12,26063
Muskegon,11,5,26121
Montcalm,11,7,26117
Gratiot,11,8,26057
Saginaw,11,9,26145
Sanilac,11,11,26151
Tuscola,11,10,26157
Genesee,12,10,26049
Ionia,12,7,26067
Ottawa,12,5,26139
Kent,12,6,26081
Clinton,12,8,26037
Shiawassee,12,9,26155
Lapeer,12,11,26087
St Clair,12,12,26147
Livingston,13,9,26093
Eaton,13,7,26045
Allegan,13,5,26005
Barry,13,6,26015
Ingham,13,8,26065
Oakland,13,10,26125
Macomb,13,11,26099
Calhoun,14,7,26025
Van Buren,14,5,25159
Kalamazoo,14,6,26077
Jackson,14,8,26075
Washtenaw,14,9,26161
Wayne,14,10,26163
Monroe,15,10,26115
Lenawee,15,9,26091
Branch,15,7,26023
Cass,15,5,26027
Berrien,15,4,26021
St Joseph,15,6,26149
Hillsdale,15,8,26059
