"code_fips","name","row","col"
"37005","Alleghany",1,8
"37009","Ashe",1,7
"37029","Camden",1,21
"37033","Caswell",1,12
"37053","Currituck",1,22
"37073","Gates",1,20
"37077","Granville",1,14
"37083","Halifax",1,17
"37091","Hertford",1,19
"37131","Northampton",1,18
"37145","Person",1,13
"37157","Rockingham",1,11
"37169","Stokes",1,10
"37171","Surry",1,9
"37181","Vance",1,15
"37185","Warren",1,16
"37189","Watauga",1,6
"37001","Alamance",2,12
"37011","Avery",2,7
"37015","Bertie",2,18
"37041","Chowan",2,19
"37063","Durham",2,14
"37065","Edgecombe",2,17
"37067","Forsyth",2,10
"37069","Franklin",2,15
"37081","Guilford",2,11
"37115","Madison",2,4
"37121","Mitchell",2,6
"37127","Nash",2,16
"37135","Orange",2,13
"37139","Pasquotank",2,21
"37143","Perquimans",2,20
"37193","Wilkes",2,8
"37197","Yadkin",2,9
"37199","Yancey",2,5
"37003","Alexander",3,9
"37021","Buncombe",3,5
"37023","Burke",3,7
"37027","Caldwell",3,8
"37035","Catawba",3,10
"37037","Chatham",3,16
"37055","Dare",3,23
"37057","Davidson",3,14
"37059","Davie",3,13
"37075","Graham",3,2
"37087","Haywood",3,4
"37097","Iredell",3,11
"37111","Mcdowell",3,6
"37117","Martin",3,20
"37151","Randolph",3,15
"37159","Rowan",3,12
"37173","Swain",3,3
"37177","Tyrrell",3,22
"37183","Wake",3,17
"37187","Washington",3,21
"37191","Wayne",3,19
"37195","Wilson",3,18
"37013","Beaufort",4,21
"37025","Cabarrus",4,11
"37039","Cherokee",4,1
"37043","Clay",4,2
"37045","Cleveland",4,9
"37079","Greene",4,18
"37085","Harnett",4,16
"37089","Henderson",4,6
"37095","Hyde",4,22
"37099","Jackson",4,4
"37101","Johnston",4,17
"37105","Lee",4,15
"37107","Lenoir",4,19
"37109","Lincoln",4,10
"37113","Macon",4,3
"37123","Montgomery",4,13
"37125","Moore",4,14
"37147","Pitt",4,20
"37149","Polk",4,7
"37161","Rutherford",4,8
"37167","Stanly",4,12
"37175","Transylvania",4,5
"37007","Anson",5,12
"37049","Craven",5,20
"37051","Cumberland",5,16
"37061","Duplin",5,18
"37071","Gaston",5,9
"37093","Hoke",5,15
"37103","Jones",5,19
"37119","Mecklenburg",5,10
"37137","Pamlico",5,21
"37153","Richmond",5,13
"37163","Sampson",5,17
"37165","Scotland",5,14
"37179","Union",5,11
"37017","Bladen",6,15
"37031","Carteret",6,18
"37133","Onslow",6,17
"37141","Pender",6,16
"37155","Robeson",6,14
"37019","Brunswick",7,16
"37047","Columbus",7,15
"37129","New Hanover",7,17
