name,code_fips,row,col
Pend Oreille,051,1,8
Stevens,065,1,7
Ferry,019,1,6
Okanogan,047,1,5
Whatcom,073,1,4
San Juan,055,1,3
Island,029,2,3
Skagit,057,2,4
Chelan,007,2,5
Douglas,017,2,6
Lincoln,043,2,7
Spokane,063,2,8
Clallam,009,2,1
Jefferson,031,2,2
Kitsap,035,3,3
Snohomish,061,3,4
Grant,025,3,6
Whitman,075,3,8
Adams,001,3,7
Kittitas,037,3,5
Mason,045,3,2
Grays Harbor,027,3,1
Thurston,067,4,3
King,033,4,4
Garfield,023,4,8
Franklin,021,4,7
Benton,005,4,6
Yakima,077,4,5
Pacific,049,4,2
Lewis,041,5,3
Columbia,013,5,7
Asotin,003,5,8
Klickitat,039,5,5
Walla Walla,071,5,6
Pierce,053,5,4
Wahkiakum,069,5,2
Cowlitz,015,6,3
Skamania,059,6,5
Clark,011,6,4
